diseaseid;sentence;nsentence;pmid;disease_name;disease_type
C0000727;Notwithstanding, the <span class='disease' id='C0000727-3-21-34'>acute abdomen</span> as a presentation of <span class='disease covid cdisease' id='DGN_COVID19_DISEASE-3-56-64'>COVID-19</span> is rare.;3;32864225;Abdomen, Acute;phenotype
C0000727;Suspected <span class='disease' id='C0000727-0-10-23'>acute abdomen</span> as an extrapulmonary manifestation of Covid-19 <span class='disease' id='C0009450-0-71-80'>infection</span>.;0;32252978;Abdomen, Acute;phenotype
C0000727;The effect of emergency surgery on <span class='disease' id='C0000727-0-35-48'>acute abdomen</span> patients with <span class='disease covid cdisease' id='DGN_COVID19_DISEASE-0-63-71'>COVID-19</span> <span class='disease' id='C0032285_C3714636-0-72-81'>pneumonia</span>: a retrospective observational study.;0;32805726;Abdomen, Acute;phenotype
C0000727;"During the <span class='disease covid cdisease' id='DGN_COVID19_DISEASE-1-11-19'>COVID-19</span> outbreak, some patients with <span class='disease covid cdisease' id='DGN_COVID19_DISEASE-1-49-57'>COVID-19</span> <span class='disease' id='C0032285_C3714636-1-58-67'>pneumonia</span> also suffered from <span class='disease' id='C0000727-1-87-100'>acute abdomen</span> requiring surgical treatment; however, there is no consensus for the treatment of such patients.";1;32805726;Abdomen, Acute;phenotype
C0000727;Comment on   Beware of Too Aggressive Approach in Children With <span class='disease' id='C0000727-0-63-76'>Acute Abdomen</span> During <span class='disease covid cdisease' id='DGN_COVID19_DISEASE-0-84-92'>COVID-19</span> Outbreak!;0;32433301;Abdomen, Acute;phenotype
C0000727;"However, severe <span class='disease' id='C0000737-3-16-30'>abdominal pain</span> associated with <span class='disease covid cdisease' id='DGN_COVID19_DISEASE-3-47-55'>COVID-19</span> warranting surgical evaluation has been rarely described; recognizing such presentations and differentiating them from a <span class='disease' id='C0000727-3-177-193'>surgical abdomen</span> is critical to effectively and safely manage <span class='disease covid cdisease' id='DGN_COVID19_DISEASE-3-239-247'>COVID-19</span> patients.";3;32691004;Abdomen, Acute;phenotype
C0000727;<span class='disease' id='C0000727-1-0-13'>Acute abdomen</span>, abdominal trauma, gastrointestinal bleeding and <span class='disease' id='C0017185_C0685938-1-63-86'>gastrointestinal tumors</span> are the main conditions that are routinely treated in gastrointestinal surgery department with high incidence and critical condition.;1;32306596;Abdomen, Acute;phenotype
C0000727;Our case highlights the inaccuracy of using clinical diagnosis for <span class='disease' id='C0000727-5-67-83'>surgical abdomen</span> in the <span class='disease covid cdisease' id='DGN_COVID19_DISEASE-5-91-99'>COVID-19</span> era.;5;32864225;Abdomen, Acute;phenotype
C0000727;Confirmed <span class='disease covid cdisease' id='DGN_COVID19_DISEASE-7-10-18'>COVID-19</span> patients with <span class='disease' id='C0000727-7-33-46'>acute abdomen</span> may need proper imaging tests before surgery to avoid iatrogenic complications.;7;32864225;Abdomen, Acute;phenotype
C0000727;Our aim was to review the most current data on <span class='disease covid cdisease' id='DGN_COVID19_DISEASE-2-47-55'>COVID-19</span> to provide essential suggestions on how to manage the <span class='disease' id='C0000727-2-110-123'>acute abdomen</span> during the pandemic.;2;32352836;Abdomen, Acute;phenotype
